time,pressure
1,0
2,990.6682129
3,990.657959
4,990.6665039
5,990.6853027
6,990.6506348
7,990.6374512
8,990.6638184
9,990.6337891
10,990.6662598
11,990.6330566
12,990.6237793
13,990.6455078
14,990.6418457
15,990.6459961
16,990.6374512
17,990.8483887
18,990.8144531
19,990.8061523
20,990.8154297
21,990.828125
22,990.8105469
23,990.817627
24,990.8344727
25,990.8251953
26,990.7675781
27,990.8027344
28,990.8056641
29,990.7993164
30,990.791748
31,990.7731934
32,990.7536621
33,990.7487793
34,990.7370605
35,990.7573242
36,990.7751465
37,990.7509766
38,990.7626953
39,990.8000488
40,990.8139648
41,990.8154297
42,990.8491211
43,991.1394043
44,991.3000488
45,991.4082031
46,991.4084473
47,991.4384766
48,991.3300781
49,991.4465332
50,991.3867188
51,991.3933105
52,991.4335938
53,991.3620605
54,991.4919434
55,991.3896484
56,991.3693848
57,991.3359375
58,991.3208008
59,991.3549805
60,991.3635254
61,991.3937988
62,991.3498535
63,991.4155273
64,991.307373
65,991.3383789
66,991.3684082
67,991.3840332
68,991.3972168
69,991.4143066
70,991.1687012
71,991.3376465
72,991.4123535
73,991.2900391
74,991.3149414
75,991.3029785
76,991.2727051
77,991.40625
78,991.2470703
79,991.3029785
80,991.3840332
81,991.4038086
82,991.425293
83,991.4545898
84,991.4382324
85,991.3986816
86,991.348877
87,991.5178223
88,991.4350586
89,991.404541
90,991.4296875
91,991.4289551
92,991.454834
93,991.4672852
94,991.4863281
95,991.4829102
96,991.395752
97,991.310791
98,991.3581543
99,991.2980957
100,991.4301758
101,991.4938965
102,991.4094238
103,991.4467773
104,991.411377
105,991.427002
106,991.4863281
107,991.4584961
108,991.3989258
109,991.53125
110,991.4335938
111,991.4658203
112,991.545166
113,991.4616699
114,991.5024414
115,991.3977051
116,991.4819336
117,991.3981934
118,991.440918
119,991.473877
120,991.5014648
121,991.5234375
122,991.4165039
123,991.5083008
124,991.4072266
125,991.4648438
126,991.4614258
127,991.5004883
128,991.4628906
129,991.5068359
130,991.5202637
131,991.53125
132,991.5593262
133,991.5559082
134,991.5578613
135,991.6005859
136,991.6237793
137,991.5332031
138,991.5256348
139,991.5517578
140,991.6152344
141,991.6118164
142,991.5322266
143,991.6030273
144,991.470459
145,991.3925781
146,991.4838867
147,991.3635254
148,991.355957
149,991.3618164
150,991.357666
151,991.355957
152,991.2805176
153,991.0688477
154,991.3103027
155,991.2756348
156,991.2036133
157,991.2536621
158,991.2915039
159,991.2941895
160,991.3007813
161,991.3093262
162,991.3413086
163,991.2553711
164,991.1938477
165,991.248291
166,991.2919922
167,991.2446289
168,991.3376465
169,991.3574219
170,991.3049316
171,991.3598633
172,991.3227539
173,991.3466797
174,991.2709961
175,991.1921387
176,991.2587891
177,991.3012695
178,991.2033691
179,991.2429199
180,991.2348633
181,991.1298828
182,991.2834473
183,991.3859863
184,991.2634277
185,991.2304688
186,991.1755371
187,991.2561035
188,991.1679688
189,991.3532715
190,991.3215332
191,991.2641602
192,991.2436523
193,991.2998047
194,991.2133789
195,991.3288574
196,991.1833496
197,991.2907715
198,991.2678223
199,991.2683105
200,991.2333984
201,991.2666016
202,991.2099609
203,991.2160645
204,991.2897949
205,991.2854004
206,991.2739258
207,990.4445801
208,987.4035645
209,982.947998
210,978.5942383
211,974.3293457
212,969.7912598
213,965.0725098
214,959.6503906
215,953.5822754
216,948.2214355
217,943.3696289
218,938.9587402
219,935.0847168
220,931.720459
221,927.953125
222,924.0957031
223,920.5300293
224,916.1694336
225,911.6933594
226,907.1398926
227,903.4912109
228,900.7382813
229,898.173584
230,895.7502441
231,892.7126465
232,888.3930664
233,884.6271973
234,881.3156738
235,878.2768555
236,874.8825684
237,871.6784668
238,868.6330566
239,866.6276855
240,863.9907227
241,861.5349121
242,857.7924805
243,855.3933105
244,853.0495605
245,850.6699219
246,847.6813965
247,845.0712891
248,842.7041016
249,840.496582
250,838.4260254
251,836.2133789
252,833.9667969
253,831.9211426
254,828.9377441
255,826.4169922
256,823.0463867
257,820.4399414
258,818.3818359
259,816.3857422
260,814.3815918
261,812.5166016
262,810.3771973
263,808.5029297
264,806.5810547
265,804.5568848
266,802.5593262
267,800.654541
268,798.8227539
269,796.8930664
270,794.8134766
271,792.1875
272,788.753418
273,786.4047852
274,784.4204102
275,782.3955078
276,780.2036133
277,777.9953613
278,775.5996094
279,773.5029297
280,770.7138672
281,768.2634277
282,766.4399414
283,764.4650879
284,762.4255371
285,760.4975586
286,758.6271973
287,756.5578613
288,754.517334
289,752.4631348
290,750.5551758
291,748.7416992
292,746.7009277
293,744.9006348
294,743.0476074
295,741.0722656
296,739.161377
297,737.1179199
298,734.9709473
299,733.0324707
300,730.9414063
301,728.1437988
302,725.5681152
303,722.8295898
304,720.104248
305,718.1362305
306,715.7075195
307,713.8986816
308,711.9592285
309,710.0622559
310,707.8945313
311,706.1362305
312,704.2321777
313,702.2434082
314,700.3259277
315,698.463623
316,696.6567383
317,694.6567383
318,692.970459
319,691.2414551
320,689.4086914
321,687.5996094
322,685.7668457
323,684.0334473
324,682.3190918
325,680.5876465
326,678.8718262
327,677.1960449
328,675.4404297
329,673.782959
330,672.1132813
331,670.3703613
332,667.9873047
333,666.2202148
334,664.552002
335,663.0576172
336,661.2285156
337,659.3366699
338,657.4960938
